beseda,sentiment
a,0
aa,-1
ab,-1
aba,-1
abančen,0
abc,0
abe,-1
abeceda,0
abeceden,2
abecednik,2
abjar,4
abonent,2
abonentski,2
abonma,0
abonmajski,0
abraham,0
absoluten,1
absolutist,-2
absolutističen,0
absolvent,0
absolventski,0
absorbirati,0
absorpcijski,2
abstiniranje,3
absurd,-1
absurden,-1
absurdno,1
absurdnost,-2
abs.,3
ac,0
act,0
ad,0
adam,1
adaptacija,2
adaptirati,0
adenski,-2
adidas,1
adidasov,2
adijo,2
adirati,0
aditiv,-1
administracija,0
administrativa,-1
administrativen,0
administrator,0
administratorka,-2
admiral,1
admiralski,0
adrenalin,2
adrenalinski,3
adresar,3
adrija,-1
adut,0
advent,0
adventen,1
advokat,-1
ad hoc,-1
aeroben,3
aerobika,3
aerodinamičen,2
aerodrom,0
aeroinženiring,2
aeronavtičen,0
aeronavtika,5
aerosol,-2
aero...,0
afera,-1
aferica,-3
afganistanec,3
afganistanski,0
aflatoksin,-3
afričan,0
afrika,1
afriški,1
afroameriški,2
aga,0
agencija,0
agencijin,0
agencijski,-1
agenda,0
agent,0
agentski,1
agilen,0
agitacija,-2
agitirati,0
aglomeracija,3
agnostik,-2
agon,-1
agonija,-1
agraren,-1
agregat,-1
agregaten,2
agresija,-1
agresiven,0
agresivno,0
agresivnost,1
agresorski,3
agrikulturen,2
agronom,-2
agronomski,0
agroživilski,1
agroživilstvo,3
agrumi,3
agr.,1
ah,0
aha,0
ahilov,2
ahistoričen,0
aids,-1
air,1
airbus,1
airbusov,2
aires,1
ais,0
aja,-2
ajda,2
ajdnik,-1
ajdovec,3
ajdovski,0
ajdovščina,0
ajet,-2
ajn,-1
akademija,1
akademik,0
akademski,1
akadem.,1
akcija,1
akcijski,1
aker,3
aki,3
aklamacija,0
aklimatizacija,3
akna,-2
akontacija,0
akreditacija,1
akreditacijski,0
akreditirati,0
akrilamid,-2
akrobacija,-1
akrobatski,0
akropola,1
akt,0
akter,0
akterka,3
aktiv,-1
aktiva,0
aktivacija,3
aktiven,0
aktiviran,-1
aktiviranje,-1
aktivirati,1
aktivist,-1
aktivistka,2
aktivizem,0
aktivno,1
aktivnost,0
aktor,0
aktualen,0
aktualizirati,-2
aktualno,1
aktualnost,-1
akumulacija,0
akumulacijski,0
akumulator,1
akumulatorski,-2
akumuliranje,-2
akustičen,2
akustika,2
akuten,-2
akvarij,-3
akvatorij,3
akvizicija,2
al,1
alah,0
alarm,-2
alarmanten,-2
alarmen,0
alaska,4
albanski,-1
albin,0
album,-1
alea,0
aleja,3
aleksandra,0
aleksija,3
alergen,0
alergičen,-1
alergija,-2
alergijski,0
alergik,3
alergologija,-1
alfa,1
alfa romeo,-1
alga,-2
ali,0
alias,0
alibi,-1
alinea,1
alineja,1
aliti,0
aljaški,2
alkaloid,1
alkohol,-1
alkoholen,-2
alkoholik,-2
alkoholiziranost,3
alkotest,0
alma,3
almaz,3
alo,0
aloa,5
alociran,3
alocirati,0
alokacija,0
alpe,0
alpine,0
alpinist,1
alpinističen,1
alpinizem,0
alpski,0
alt,0
alternativa,0
alternativec,3
alternativen,1
alternator,0
altruizem,0
alu,0
aluminij,1
aluminijast,3
aluminijev,2
aluminijski,1
alveol,-1
alveola,0
alžirski,-1
amandma,0
amandmajski,0
amanita,2
amater,3
amaterski,-2
amazon,1
ambasada,0
ambasador,2
ambicija,1
ambiciozen,1
ambiciozno,2
ambicioznost,-1
ambient,2
ambrozija,-2
ambruški,-2
ambulanta,0
ambulanten,0
amd,0
american,0
američan,0
amerikanizacija,0
ameriški,0
ameriško,-1
amfetamin,-3
amfiteater,2
ami,-1
amino...,-2
amnesty,0
amnezijski,0
amon,-2
amortizacija,1
amortizacijski,2
amortizer,-1
amortizirati,-2
ampak,0
amper,0
amplificiran,2
ampula,2
ana,0
anafilaktičen,-2
analgetik,1
analitičarka,-1
analitičen,2
analitičnost,2
analitik,0
analitikov,2
analitski,1
analiza,0
analiziran,-2
analiziranje,0
analizirati,0
analogen,0
analogija,-1
anamneza,0
ananas,0
anarhija,-1
anarhist,-2
andra,0
android,1
androiden,2
anekdota,3
aneks,0
anektirati,-5
anemičen,1
anemično,-2
anemija,-2
anestetik,2
anestezija,2
angažiran,0
angažiranje,0
angažiranost,3
angažirati,1
angažma,0
angel,1
angelček,3
angelski,2
angina,-2
angleščina,0
angleški,1
anglež,-1
angloameriški,2
anglosaški,0
anglo...,-1
angl.,-1
anica,0
animacija,1
animacijski,3
animateka,3
animator,3
anion,3
anionski,4
anka,1
ankaranski,1
anketa,0
anketen,-1
anketiranec,0
anketiranje,2
anketirati,1
anksiozen,-2
anoda,0
anomalija,-1
anonimen,-1
anonimka,-1
anonimnež,0
anonimnost,-1
anoreksičen,-5
